zipcode,Estimated zip code population in 2016,Zip code population in 2010,Zip code population in 2000,March 2016 Index,Land area,Water area,Population Density (#/sqr mile),Males,Females,Real estate property taxes paid for housing units in 2016,Property Tax % on Houses,Property Tax on Housting ($),Median real estate property taxes paid for housing units with mortgages in 2016,Median real estate property taxes paid for housing units with no mortgage in 2016,Estimated median house/condo value in 2016,Estimated median household income in 2016,Median monthly owner costs for units with a mortgage,Median monthly owner costs for units without a mortgage,Median gross rent in 2016,Median price asked for vacant for-sale houses and condos in 2016,Unemployment,Lat,Lon
60633,13000.0,12927.0,13262.0,100.8,10.3 sq. mi.,1.9 sq. mi.,1268.0,6701,6299,"1.7% ($2,231)",0.017,2231,"$2,744 (2.1%)","$1,779 (1.4%)",131413.0,52859.0,1322.0,443.0,934.0,399385.0,0.08900000000000001,41.663809,-87.56147
60634,74434.0,74298.0,74164.0,103.7,7.1 sq. mi.,0.0 sq. mi.,10465.0,36105,38329,"1.7% ($4,291)",0.017,4291,"$4,444 (1.7%)","$3,962 (1.6%)",257610.0,60598.0,1792.0,640.0,1016.0,332114.0,0.052000000000000005,41.946189000000004,-87.806117
60636,36292.0,40916.0,51451.0,102,3.9 sq. mi.,0.0 sq. mi.,9277.0,17073,19218,"1.4% ($1,425)",0.014,1425,"$1,369 (1.3%)","$1,501 (1.6%)",99004.0,28615.0,1238.0,482.0,896.0,339727.0,0.251,41.775739,-87.669064
60637,49863.0,49503.0,57090.0,106.7,4.5 sq. mi.,0.7 sq. mi.,11063.0,21893,27968,"1.5% ($2,933)",0.015,2933,"$2,911 (1.5%)","$2,986 (1.6%)",189239.0,28215.0,1675.0,679.0,929.0,204035.0,0.14300000000000002,41.781621,-87.599876
60638,58574.0,55026.0,55788.0,102,11.1 sq. mi.,0.0 sq. mi.,5274.0,28975,29599,"1.5% ($3,210)",0.015,3210,"$3,364 (1.5%)","$2,933 (1.5%)",216987.0,67080.0,1642.0,517.0,965.0,154063.0,0.079,41.78143,-87.77051999999999
60639,91504.0,90407.0,92951.0,104.6,4.9 sq. mi.,0.0 sq. mi.,18760.0,45871,45634,"1.8% ($3,858)",0.018,3858,"$3,891 (1.8%)","$3,668 (1.8%)",211659.0,41569.0,1769.0,666.0,956.0,492868.0,0.08800000000000001,41.920552,-87.756054
60640,68050.0,65790.0,74030.0,106,2.4 sq. mi.,0.3 sq. mi.,28259.0,35067,32983,"1.5% ($4,487)",0.015,4487,"$4,618 (1.5%)","$3,810 (1.3%)",302006.0,49356.0,1953.0,780.0,951.0,337457.0,0.061,41.972871999999995,-87.662604
60641,71655.0,71663.0,73824.0,104.8,4.0 sq. mi.,0.0 sq. mi.,17728.0,35624,36031,"1.7% ($4,832)",0.017,4832,"$4,977 (1.7%)","$4,356 (1.5%)",288243.0,55363.0,1959.0,706.0,965.0,364585.0,0.06,41.946606,-87.746787
60643,51231.0,49952.0,52568.0,101.9,7.3 sq. mi.,0.0 sq. mi.,6973.0,23668,27561,"1.4% ($2,684)",0.014,2684,"$2,858 (1.4%)","$2,238 (1.2%)",194345.0,62162.0,1597.0,578.0,976.0,147475.0,0.1,41.700272999999996,-87.663267
60644,50357.0,48648.0,59059.0,105.8,3.5 sq. mi.,0.0 sq. mi.,14372.0,23303,27052,"1.4% ($2,338)",0.014,2338,"$2,623 (1.3%)","$1,653 (1.2%)",172480.0,28008.0,1538.0,542.0,890.0,343984.0,0.146,41.880084000000004,-87.756373
